순위,아티스트,곡명,앨범
1,METEOR,창모 (CHANGMO),Boyhood
2,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale
3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따,Dingo X DAMOIM (Part 2)
4,Blueming,아이유,Love poem
5,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
6,Square (2017),백예린,Every letter I sent you.
7,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어"
8,HIP,마마무(Mamamoo),reality in BLACK
9,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",Idina Menzel,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)
10,Love poem,아이유,Love poem
11,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
13,나의 오랜 연인에게,다비치,나의 오랜 연인에게
14,빌었어,창모 (CHANGMO),Boyhood
15,조금 취했어 (Prod. 2soo),임재현,조금 취했어
16,헤어진 우리가 지켜야 할 것들,김나영,헤어진 우리가 지켜야 할 것들
17,Obsession,EXO,OBSESSION - The 6th Album
18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
19,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
20,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백
21,안녕,폴킴,호텔 델루나 OST Part.10
22,이 번호로 전화해줘,바이브,이 번호로 전화해줘
23,작은 것들을 위한 시 (Boy With Luv) feat. Halsey,방탄소년단,MAP OF THE SOUL : PERSONA
24,새 사랑,송하예,새 사랑
25,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8
26,있어줘요,장덕철,있어줘요
27,이별주,황인욱,이별주
28,2002,Anne-Marie,Speak Your Mind (Deluxe)
29,BAND,창모 (CHANGMO),BAND
30,다시 만날까 봐,V.O.S,다시 만날까 봐
31,"Show Yourself (From ""Frozen 2""/Soundtrack Version)",Idina Menzel,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)
32,포장마차,황인욱,포장마차
33,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯
34,첫 겨울이니까,성시경,첫 겨울이니까
35,니 소식,송하예,니 소식
36,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3
37,시간의 바깥,아이유,Love poem
38,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album
39,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love)
40,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면
41,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼
42,잘 살고 있다,V.O.S,잘 살고 있다
43,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7
44,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
45,Santa Tell Me,Ariana Grande,Santa Tell Me
46,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness
47,워커홀릭,볼빨간사춘기,Two Five
48,Trouble,EXO,OBSESSION - The 6th Album
49,중2병,염따,Dingo X DAMOIM (Part 3)
50,나비효과 (Butterfly Effect),EXO,OBSESSION - The 6th Album
51,Señorita,Shawn Mendes,Señorita
52,너를 만나,폴킴,너를 만나
53,춤 (Groove),EXO,OBSESSION - The 6th Album
54,Feel Special,TWICE (트와이스),Feel Special
55,지킬 (Jekyll),EXO,OBSESSION - The 6th Album
56,"숨겨진 세상 (Into the Unknown End Credit Version) (""겨울왕국 2"")",태연 (TAEYEON),겨울왕국 2 (한국어 버전)
57,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기
58,술이 문제야,장혜진,술이 문제야
59,Snowman,Sia,Everyday Is Christmas (Deluxe)
60,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3
61,봄날,방탄소년단,YOU NEVER WALK ALONE
62,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따,Amanda
63,허전해,폴킴,"정규 2집 '마음, 하나'"
64,Ya Ya Ya,EXO,OBSESSION - The 6th Album
65,LION,(여자)아이들,퀸덤 <FINAL 컴백 싱글>
66,오늘도 (Day After Day),EXO,OBSESSION - The 6th Album
67,Non Stop,EXO,OBSESSION - The 6th Album
68,가을밤 떠난 너,케이시 (Kassy),Rewind
69,Baby You Are,EXO,OBSESSION - The 6th Album
70,Flower,윤미래,사랑의 불시착 OST Part 2
71,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
72,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
73,헤어지자 (Prod. 정키),휘인 (Whee In),soar
74,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
75,unlucky,아이유,Love poem
76,"Speechless (Full) (From ""Aladdin""/Soundtrack Version)",Naomi Scott,Aladdin (Original Motion Picture Soundtrack)
77,날 보러 와요 (Come See Me),AOA,NEW MOON
78,우리 어떻게 할까요,첸 (CHEN),사랑하는 그대에게 - The 2nd Mini Album
79,주저하는 연인들을 위해,잔나비,전설
80,노을,다비치,사랑의 불시착 OST Part 3
81,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
